year,team,win_percent,wins,losses
2006-07,SEAs,0.37799999999999995,31,51
2005-06,SEAs,0.42700000000000005,35,47
2004-05,SEAs,0.634,52,30
2003-04,SEAs,0.451,37,45
2002-03,SEAs,0.488,40,42
2001-02,SEAs,0.5489999999999999,45,37
2000-01,SEAs,0.537,44,38
1999-00,SEAs,0.5489999999999999,45,37
1998-99 ,SEAs,0.5,25,25
1997-98,SEAs,0.7440000000000001,61,21
1996-97,SEAs,0.695,57,25
1995-96,SEAs,0.78,64,18
1994-95,SEAs,0.695,57,25
1993-94,SEAs,0.768,63,19
1992-93,SEAs,0.6709999999999999,55,27
1991-92,SEAs,0.573,47,35
1990-91,SEAs,0.5,41,41
1989-90,SEAs,0.5,41,41
1988-89,SEAs,0.573,47,35
1987-88,SEAs,0.537,44,38
1986-87,SEAs,0.47600000000000003,39,43
1985-86,SEAs,0.37799999999999995,31,51
1984-85,SEAs,0.37799999999999995,31,51
1983-84,SEAs,0.512,42,40
1982-83,SEAs,0.585,48,34
1981-82,SEAs,0.634,52,30
1980-81,SEAs,0.415,34,48
2017-18,ORL,0.305,25,57
2016-17,ORL,0.354,29,53
2015-16,ORL,0.42700000000000005,35,47
2014-15,ORL,0.305,25,57
2013-14,ORL,0.28,23,59
2012-13,ORL,0.244,20,62
2011-12 ,ORL,0.561,37,29
2010-11,ORL,0.634,52,30
2009-10,ORL,0.72,59,23
2008-09,ORL,0.72,59,23
2007-08,ORL,0.634,52,30
2006-07,ORL,0.488,40,42
2005-06,ORL,0.439,36,46
2004-05,ORL,0.439,36,46
2003-04,ORL,0.256,21,61
2002-03,ORL,0.512,42,40
2001-02,ORL,0.537,44,38
2000-01,ORL,0.524,43,39
1999-00,ORL,0.5,41,41
1998-99 ,ORL,0.66,33,17
1997-98,ORL,0.5,41,41
1996-97,ORL,0.5489999999999999,45,37
1995-96,ORL,0.732,60,22
1994-95,ORL,0.695,57,25
1993-94,ORL,0.61,50,32
1992-93,ORL,0.5,41,41
1991-92,ORL,0.256,21,61
1990-91,ORL,0.37799999999999995,31,51
1989-90,ORL,0.22,18,64
2017-18,PHI,0.634,52,30
2016-17,PHI,0.341,28,54
2015-16,PHI,0.122,10,72
